"Year","Name","Amount (t)"
1999,"Excavated earthen materials (including soil) nec",0
1999,"Fossil fuels",2211000
1999,"Metal ores",953435.36
1999,"Mixed and complex products nec.",37076.3
1999,"Non-metallic minerals",40162577.23
1999,"Products from biomass",-31677.38
1999,"Products from fossil fuels",1167974.55
1999,"Products from metals",54242.48
1999,"Products from non-metallic minerals",-170861.94
1999,"Waste for final treatment and disposal",50299.96
2000,"Biomass",71928083.23
2000,"Excavated earthen materials (including soil) nec",0
2000,"Fossil fuels",2518000
2000,"Metal ores",1073779.75
2000,"Mixed and complex products nec.",239301.27
2000,"Non-metallic minerals",40704692.88
2000,"Products from biomass",-31655.64
2000,"Products from fossil fuels",989660
2000,"Products from metals",47494.31
2000,"Products from non-metallic minerals",-263836.08
2000,"Waste for final treatment and disposal",47873.27
2001,"Biomass",76792199.91
2001,"Excavated earthen materials (including soil) nec",0
2001,"Fossil fuels",2032000
2001,"Metal ores",1377242.78
2001,"Mixed and complex products nec.",1071422.7
2001,"Non-metallic minerals",39910478.1
2001,"Products from biomass",-37769.1
2001,"Products from fossil fuels",1241162.22
2001,"Products from metals",70123.56
2001,"Products from non-metallic minerals",-174549.71
2001,"Waste for final treatment and disposal",57943.84
2002,"Biomass",77662127.35
2002,"Excavated earthen materials (including soil) nec",0
2002,"Fossil fuels",1592000
2002,"Metal ores",1458611.81
2002,"Mixed and complex products nec.",-193219.89
2002,"Non-metallic minerals",11064945.73
2002,"Products from biomass",-36518.34
2002,"Products from fossil fuels",1111215.14
2002,"Products from metals",65181.89
2002,"Products from non-metallic minerals",-89664.64
2002,"Waste for final treatment and disposal",41112.67
2003,"Biomass",80073081.5
2003,"Excavated earthen materials (including soil) nec",0
2003,"Fossil fuels",1642000
2003,"Metal ores",1318555.58
2003,"Mixed and complex products nec.",-7113.74
2003,"Non-metallic minerals",8535088.11
2003,"Products from biomass",-39604.17
2003,"Products from fossil fuels",1022922.2
2003,"Products from metals",62980.64
2003,"Products from non-metallic minerals",-446357.12
2003,"Waste for final treatment and disposal",37034.14
2004,"Biomass",83236153.32
2004,"Excavated earthen materials (including soil) nec",0
2004,"Fossil fuels",2152000
2004,"Metal ores",870234.73
2004,"Mixed and complex products nec.",-146846.02
2004,"Non-metallic minerals",10344968.91
2004,"Products from biomass",-47731.34
2004,"Products from fossil fuels",1188769.03
2004,"Products from metals",76770
2004,"Products from non-metallic minerals",-341794.81
2004,"Waste for final treatment and disposal",44794.72
2005,"Biomass",90649217.3
2005,"Excavated earthen materials (including soil) nec",0
2005,"Fossil fuels",1899000
2005,"Metal ores",761457.99
2005,"Mixed and complex products nec.",104207.57
2005,"Non-metallic minerals",14591779.69
2005,"Products from biomass",-75143.71
2005,"Products from fossil fuels",1527109.34
2005,"Products from metals",97803.81
2005,"Products from non-metallic minerals",-712463.96
2005,"Waste for final treatment and disposal",42677.94
2006,"Biomass",91152504.64
2006,"Excavated earthen materials (including soil) nec",0
2006,"Fossil fuels",1810000
2006,"Metal ores",708333.76
2006,"Mixed and complex products nec.",535769.96
2006,"Non-metallic minerals",16345958.44
2006,"Products from biomass",-64162.52
2006,"Products from fossil fuels",1811741.19
2006,"Products from metals",137692.02
2006,"Products from non-metallic minerals",-600465.31
2006,"Waste for final treatment and disposal",47982.47
2007,"Biomass",114405503.22
2007,"Excavated earthen materials (including soil) nec",0
2007,"Fossil fuels",1750000
2007,"Metal ores",2413091.42
2007,"Mixed and complex products nec.",1200207.51
2007,"Non-metallic minerals",19516998.28
2007,"Products from biomass",-96374.02
2007,"Products from fossil fuels",1792189.3
2007,"Products from metals",178094.75
2007,"Products from non-metallic minerals",-355730.3
2007,"Waste for final treatment and disposal",51864.17
2008,"Biomass",116311807.89
2008,"Excavated earthen materials (including soil) nec",0
2008,"Fossil fuels",1928000
2008,"Metal ores",654185.27
2008,"Mixed and complex products nec.",739620.68
2008,"Non-metallic minerals",19994484.94
2008,"Products from biomass",-77540.7
2008,"Products from fossil fuels",1866183.66
2008,"Products from metals",251447.85
2008,"Products from non-metallic minerals",-808703.46
2008,"Waste for final treatment and disposal",57478.12
2009,"Biomass",114750176.39
2009,"Excavated earthen materials (including soil) nec",0
2009,"Fossil fuels",1766000
2009,"Metal ores",1316951.91
2009,"Mixed and complex products nec.",550745.23
2009,"Non-metallic minerals",25410017.34
2009,"Products from biomass",40091.18
2009,"Products from fossil fuels",2432515.17
2009,"Products from metals",169406.85
2009,"Products from non-metallic minerals",-471918.7
2009,"Waste for final treatment and disposal",59485.11
2010,"Biomass",120895407.45
2010,"Excavated earthen materials (including soil) nec",0
2010,"Fossil fuels",1708000
2010,"Metal ores",2147564.25
2010,"Mixed and complex products nec.",722587.59
2010,"Non-metallic minerals",30110571.85
2010,"Products from biomass",116721.79
2010,"Products from fossil fuels",2616272.34
2010,"Products from metals",174712.43
2010,"Products from non-metallic minerals",-23022.85
2010,"Waste for final treatment and disposal",80115.11
2011,"Biomass",120331449.26
2011,"Excavated earthen materials (including soil) nec",0
2011,"Fossil fuels",2066000
2011,"Metal ores",1279276.92
2011,"Mixed and complex products nec.",1638
2011,"Non-metallic minerals",24376778.29
2011,"Products from biomass",183810.38
2011,"Products from fossil fuels",2553000
2011,"Products from metals",0
2011,"Products from non-metallic minerals",0
2011,"Waste for final treatment and disposal",0
2012,"Biomass",123948193.34
2012,"Excavated earthen materials (including soil) nec",0
2012,"Fossil fuels",1313000
2012,"Metal ores",2450856.95
2012,"Mixed and complex products nec.",2370
2012,"Non-metallic minerals",35282244.56
2012,"Products from biomass",115352.1
2012,"Products from fossil fuels",3043000
2012,"Products from metals",0
2012,"Products from non-metallic minerals",0
2012,"Waste for final treatment and disposal",0
2013,"Biomass",122895058.31
2013,"Excavated earthen materials (including soil) nec",0
2013,"Fossil fuels",928000
2013,"Metal ores",2798148.19
2013,"Mixed and complex products nec.",1462259.6
2013,"Non-metallic minerals",42386599.48
2013,"Products from biomass",68060.63
2013,"Products from fossil fuels",3733498.42
2013,"Products from metals",339396.7
2013,"Products from non-metallic minerals",376971.63
2013,"Waste for final treatment and disposal",100466.63
2014,"Biomass",122925626.42
2014,"Excavated earthen materials (including soil) nec",0
2014,"Fossil fuels",470000
2014,"Metal ores",498660.31
2014,"Mixed and complex products nec.",4451
2014,"Non-metallic minerals",43781724.42
2014,"Products from biomass",213228.72
2014,"Products from fossil fuels",3649300
2014,"Products from metals",0
2014,"Products from non-metallic minerals",0
2014,"Waste for final treatment and disposal",0
2015,"Biomass",127279696.94
2015,"Excavated earthen materials (including soil) nec",0
2015,"Fossil fuels",498000
2015,"Metal ores",1875326.39
2015,"Mixed and complex products nec.",3754238.01
2015,"Non-metallic minerals",55973593.05
2015,"Products from biomass",233178.22
2015,"Products from fossil fuels",4981468.86
2015,"Products from metals",587251.94
2015,"Products from non-metallic minerals",1794592.24
2015,"Waste for final treatment and disposal",110649.98
2016,"Biomass",127454698.19
2016,"Excavated earthen materials (including soil) nec",0
2016,"Fossil fuels",491000
2016,"Metal ores",1506856.66
2016,"Mixed and complex products nec.",4177653.38
2016,"Non-metallic minerals",49916015.29
2016,"Products from biomass",-106589.74
2016,"Products from fossil fuels",5748466.5
2016,"Products from metals",433855.32
2016,"Products from non-metallic minerals",2130908.23
2016,"Waste for final treatment and disposal",130229.85
2017,"Biomass",122156092.74
2017,"Excavated earthen materials (including soil) nec",0
2017,"Fossil fuels",463000
2017,"Metal ores",1815175.83
2017,"Mixed and complex products nec.",5356182.84
2017,"Non-metallic minerals",43230003.17
2017,"Products from biomass",482127.76
2017,"Products from fossil fuels",5766735.95
2017,"Products from metals",577603.96
2017,"Products from non-metallic minerals",1443643.35
2017,"Waste for final treatment and disposal",163910.08
2018,"Biomass",129924560.33
2018,"Excavated earthen materials (including soil) nec",0
2018,"Fossil fuels",693000
2018,"Metal ores",1593872.54
2018,"Mixed and complex products nec.",4584628.15
2018,"Non-metallic minerals",54920503.45
2018,"Products from biomass",532096.26
2018,"Products from fossil fuels",5986968.37
2018,"Products from metals",505118.3
2018,"Products from non-metallic minerals",2271070.17
2018,"Waste for final treatment and disposal",214184.02
2019,"Biomass",140693435.2
2019,"Excavated earthen materials (including soil) nec",0
2019,"Fossil fuels",612000
2019,"Metal ores",1606283.39
2019,"Mixed and complex products nec.",5726761.61
2019,"Non-metallic minerals",58205245.38
2019,"Products from biomass",428398.49
2019,"Products from fossil fuels",6302932.81
2019,"Products from metals",337309.11
2019,"Products from non-metallic minerals",1926545
2019,"Waste for final treatment and disposal",222597.73
2020,"Biomass",156625004.07
2020,"Excavated earthen materials (including soil) nec",0
2020,"Fossil fuels",822000
2020,"Metal ores",1415981.28
2020,"Mixed and complex products nec.",5599381.1
2020,"Non-metallic minerals",56535697.53
2020,"Products from biomass",345018.15
2020,"Products from fossil fuels",6252724.06
2020,"Products from metals",352233.94
2020,"Products from non-metallic minerals",1863380.93
2020,"Waste for final treatment and disposal",217238.75
2021,"Biomass",144336850.09
2021,"Excavated earthen materials (including soil) nec",0
2021,"Fossil fuels",838348.55
2021,"Metal ores",1466452.15
2021,"Mixed and complex products nec.",5804167.83
2021,"Non-metallic minerals",59909510.31
2021,"Products from biomass",334246.73
2021,"Products from fossil fuels",6409593.5
2021,"Products from metals",362769.64
2021,"Products from non-metallic minerals",1977139.4
2021,"Waste for final treatment and disposal",225455.32
